,SubjectID,Device,ActivityID,TrialNo,Acc,Gyr
33,7,Waist,44,1,"[[ 5086 -2170   316]
 [ 6843 -1979   732]
 [ 9308 -1790  1134]
 ...
 [ 3899   356   924]
 [ 3894   360   931]
 [ 3891   360   935]]","[[-1492   108  1470]
 [-1580    84  1451]
 [-1773    57  1305]
 ...
 [  -61     5     7]
 [  -59     2     7]
 [  -57     1    10]]"
34,7,Neck,14,7,"[[ 3897    42 -1100]
 [ 3914    40 -1090]
 [ 3927    35 -1078]
 ...
 [ 3993    -1  -308]
 [ 3997    -6  -259]
 [ 3990    -7  -209]]","[[ -72   69   26]
 [ -69   72   22]
 [ -59   80   20]
 ...
 [-284    6  250]
 [-271    5  252]
 [-261    4  249]]"
35,14,Neck,44,1,"[[ 9474 -1059 -5798]
 [10617  -602   485]
 [13673   363  6192]
 ...
 [ 3982  -168   347]
 [ 3976  -177   358]
 [ 3972  -181   363]]","[[-1321  4464  -324]
 [-1364  3498  -210]
 [-1288  1190   200]
 ...
 [  -88    92    43]
 [  -87    91    39]
 [  -80    92    40]]"
36,11,Waist,121,2,"[[ 4809  -462   -16]
 [ 4526    12   160]
 [ 4296  -293    36]
 ...
 [   94 -1180 -3990]
 [  104 -1176 -3977]
 [   95 -1176 -3980]]","[[1991 -175  210]
 [1868 -204  216]
 [1799 -206  243]
 ...
 [   4   14    6]
 [   0   13    7]
 [  -1   13    9]]"
37,7,Waist,126,2,"[[1736 -359 -109]
 [1945 -281  -38]
 [1900 -189  258]
 ...
 [4157  212  150]
 [3985  314  175]
 [3848  391  226]]","[[ 1212   171   565]
 [ 1449    37   591]
 [ 1816  -100   717]
 ...
 [-1210  -864   302]
 [-1182  -792   275]
 [-1136  -700   248]]"
38,12,Neck,119,2,"[[ 3583   463 -1898]
 [ 3581   462 -1899]
 [ 3583   458 -1900]
 ...
 [ -569 -2430 -3518]
 [ -566 -2429 -3521]
 [ -567 -2423 -3522]]","[[-90  69  15]
 [-86  69  15]
 [-82  64  11]
 ...
 [-89  82  26]
 [-88  81  26]
 [-85  83  25]]"
39,3,Wrist,29,1,"[[3793  146  547]
 [3789  168  544]
 [3786  194  541]
 ...
 [3304 -299 -378]
 [3303 -300 -408]
 [3305 -307 -442]]","[[ -223   -68  -824]
 [ -252   -78  -797]
 [ -269   -82  -769]
 ...
 [-1264  -159  -852]
 [-1228  -154  -799]
 [-1196  -145  -746]]"
40,11,Neck,17,3,"[[ 447  -39 3869]
 [ 446  -34 3870]
 [ 448  -31 3871]
 ...
 [   4 4002 -408]
 [   2 4003 -413]
 [   4 4005 -413]]","[[-66  79  32]
 [-69  80  33]
 [-75  82  34]
 ...
 [-70  77  21]
 [-69  76  16]
 [-68  76  16]]"
41,5,Neck,33,2,"[[ 1719 -1341 -5479]
 [ 1764 -1297 -5220]
 [ 1810 -1242 -4945]
 ...
 [ 1737  -711 -2779]
 [ 1475  -807 -2879]
 [ 1222  -913 -3050]]","[[ -664   827   -61]
 [ -693   825   -21]
 [ -729   810    35]
 ...
 [  302    37 -1009]
 [  497   -60 -1260]
 [  683  -146 -1549]]"
42,1,Neck,43,1,"[[3933  -85  558]
 [3935  -83  558]
 [3933  -78  562]
 ...
 [ 270  421 -759]
 [ 193  399 -794]
 [ 132  389 -822]]","[[ -62   93    2]
 [ -61   93   -2]
 [ -57   93   -2]
 ...
 [ 511 -219  431]
 [ 519 -222  434]
 [ 530 -223  433]]"
43,13,Wrist,20,4,"[[  218 -1980  -338]
 [  215 -1924  -387]
 [  214 -1869  -419]
 ...
 [ -136 -2465   284]
 [ -151 -2541   301]
 [ -156 -2627   315]]","[[ 612 -891 -516]
 [ 625 -886 -536]
 [ 639 -880 -554]
 ...
 [-477  682    9]
 [-465  659    6]
 [-446  639    0]]"
44,8,Neck,121,2,"[[ -560   775  -888]
 [ -725   809  -957]
 [ -838   864  -993]
 ...
 [ 1027  -529 -4153]
 [ 1027  -532 -4151]
 [ 1026  -532 -4145]]","[[ -44 -285  393]
 [  -7 -291  396]
 [  47 -300  407]
 ...
 [ -80   77   11]
 [ -76   74   17]
 [ -77   73   16]]"
45,13,Neck,123,2,"[[ 1650   -44   -72]
 [ 1569     6  -155]
 [ 1465    55  -283]
 ...
 [ 1525  -221 -4007]
 [ 1527  -222 -4006]
 [ 1526  -222 -4009]]","[[136  92 324]
 [162  81 331]
 [193  74 340]
 ...
 [-75  73  19]
 [-76  73  18]
 [-78  75  20]]"
46,6,Wrist,1,3,"[[-458 1141    9]
 [-409 1311  -68]
 [-351 1530 -151]
 ...
 [3852  608 -925]
 [3843  606 -936]
 [3843  598 -948]]","[[1500 -433 -568]
 [1480 -429 -576]
 [1486 -421 -573]
 ...
 [ 173   20    3]
 [ 161   16    9]
 [ 148   16   20]]"
47,11,Neck,22,1,"[[ 5555   276 -1688]
 [ 5395   247 -1855]
 [ 5147   188 -2030]
 ...
 [  905  -187  -379]
 [  845  -253  -355]
 [  775  -321  -327]]","[[-121  270 -137]
 [ -79  161 -149]
 [  -4   77 -184]
 ...
 [ 134 -331   35]
 [ 100 -299   52]
 [  73 -266   58]]"
48,1,Waist,19,2,"[[ 3566 -1854   559]
 [ 3565 -1849   557]
 [ 3569 -1844   559]
 ...
 [ 4498  -674  1133]
 [ 4452  -844   880]
 [ 4434 -1098   641]]","[[   3    4   -2]
 [   3    8    2]
 [  -3    7    4]
 ...
 [ 538  -73   63]
 [ 644 -104   45]
 [ 734 -109   14]]"
49,15,Wrist,5,1,"[[ 3839  -753  -947]
 [ 3845  -752  -949]
 [ 3845  -750  -947]
 ...
 [ 3530 -1750 -2386]
 [ 3593 -1722 -2424]
 [ 3655 -1694 -2462]]","[[  -47   -13    11]
 [  -50   -13    14]
 [  -54   -11    17]
 ...
 [  958 -2502  1918]
 [  919 -2498  1912]
 [  889 -2490  1911]]"
50,2,Neck,27,1,"[[3818  -16  888]
 [3821  -14  884]
 [3821  -15  882]
 ...
 [3688 -230  777]
 [3681 -218  781]
 [3682 -247  796]]","[[-82  85  15]
 [-83  90  17]
 [-86  88  19]
 ...
 [-31 -89 -11]
 [-39 -85  -7]
 [-47 -83 -11]]"
51,13,Neck,18,6,"[[-1322  3269  1861]
 [-1322  3267  1861]
 [-1317  3263  1856]
 ...
 [ 3848   959   303]
 [ 3845   960   302]
 [ 3843   958   299]]","[[-71  72  21]
 [-73  74  19]
 [-74  73  17]
 ...
 [-53  93  23]
 [-61  90  23]
 [-61  91  24]]"
52,6,Wrist,12,3,"[[3933  308 -859]
 [3935  307 -860]
 [3934  306 -858]
 ...
 [3737  742 -932]
 [3741  711 -927]
 [3747  677 -924]]","[[  39   29   21]
 [  38   31   21]
 [  37   28   21]
 ...
 [-331   20  -93]
 [-355   19  -88]
 [-380   20  -81]]"
53,12,Wrist,5,2,"[[3889 -659 -966]
 [3888 -660 -968]
 [3883 -663 -968]
 ...
 [3873 -677 -996]
 [3871 -673 -990]
 [3870 -669 -989]]","[[19 20 34]
 [22 19 34]
 [25 19 35]
 ...
 [24 28 61]
 [21 27 62]
 [15 24 62]]"
54,3,Wrist,132,1,"[[ 3822 -1168   119]
 [ 3823 -1174   116]
 [ 3835 -1175   119]
 ...
 [ 3014 -1671 -2138]
 [ 3014 -1673 -2140]
 [ 3015 -1670 -2142]]","[[54  9 28]
 [49 11 29]
 [48 15 27]
 ...
 [20 28 19]
 [17 27 23]
 [15 25 23]]"
55,5,Waist,19,3,"[[3989 -691  232]
 [3991 -691  228]
 [3993 -689  228]
 ...
 [3963 -617  168]
 [3943 -575  176]
 [3931 -537  179]]","[[   5   21   11]
 [   9   17   10]
 [  13   17   10]
 ...
 [-589  155  -53]
 [-578  173  -52]
 [-571  191  -49]]"
56,4,Neck,41,10,"[[3829 -543  950]
 [3831 -541  948]
 [3835 -540  942]
 ...
 [3710 -856 1180]
 [3707 -849 1180]
 [3703 -844 1178]]","[[-74  82  -5]
 [-71  73  -5]
 [-73  71  -5]
 ...
 [-47  73  24]
 [-50  78  25]
 [-52  80  25]]"
57,12,Neck,122,1,"[[ 1062  -550 -1010]
 [ 1234  -500  -982]
 [ 1457  -443  -995]
 ...
 [ 2780  2150  -862]
 [ 2845  2119  -829]
 [ 2842  2132  -779]]","[[ 745  128 -199]
 [ 703  145 -223]
 [ 655  155 -230]
 ...
 [ 668  751  188]
 [ 562  708  159]
 [ 478  670  131]]"
58,3,Neck,127,3,"[[  335 -1164  3746]
 [  340 -1157  3751]
 [  341 -1151  3748]
 ...
 [ -250   269 -4346]
 [ -250   267 -4346]
 [ -253   266 -4345]]","[[-65  74  14]
 [-67  72   9]
 [-67  70  13]
 ...
 [-68  74  11]
 [-67  71  10]
 [-71  74  12]]"
59,2,Waist,107,3,"[[ 4626   511 -1711]
 [ 4444   481 -1713]
 [ 4249   426 -1724]
 ...
 [ 1434   634  3721]
 [ 1428   632  3722]
 [ 1425   636  3726]]","[[1605 -576 -250]
 [1633 -597 -208]
 [1655 -589 -167]
 ...
 [ -11    9    1]
 [ -10    9    3]
 [ -10   10    4]]"
60,10,Wrist,2,2,"[[3958 -375 -790]
 [3957 -374 -789]
 [3954 -375 -792]
 ...
 [3929 -247 -884]
 [3933 -243 -883]
 [3933 -240 -885]]","[[13 23 43]
 [13 19 45]
 [13 20 43]
 ...
 [26 13 33]
 [27 14 32]
 [30 14 37]]"
61,10,Waist,14,4,"[[4086 -986  117]
 [4093 -959  141]
 [4099 -948  165]
 ...
 [3912  204 1170]
 [3916  200 1170]
 [3913  196 1172]]","[[ -72 -404  178]
 [ -75 -407  190]
 [ -79 -414  196]
 ...
 [ -24   11   15]
 [ -20   13   16]
 [ -26   12   14]]"
62,3,Waist,33,2,"[[2509 1007  656]
 [2466  973  602]
 [2409  934  521]
 ...
 [4448 1592  222]
 [4350 1665  169]
 [4237 1713  116]]","[[ -89   36 -454]
 [ -73   79 -475]
 [ -54  131 -484]
 ...
 [-434  385   90]
 [-385  267   78]
 [-349  156   62]]"
63,2,Wrist,21,5,"[[3386 -209 -688]
 [3375 -198 -688]
 [3380 -187 -682]
 ...
 [4203 -159 -347]
 [4185 -154 -351]
 [4175 -154 -368]]","[[  300   389  -948]
 [  297   390  -924]
 [  293   386  -896]
 ...
 [ 1531  -517 -1137]
 [ 1456  -514 -1158]
 [ 1389  -508 -1182]]"
64,11,Wrist,2,3,"[[3972  372 -715]
 [3980  374 -721]
 [3986  373 -724]
 ...
 [3900  529 -553]
 [3903  532 -554]
 [3913  533 -555]]","[[  7  19  10]
 [  2  20   9]
 [ -6  24   9]
 ...
 [121  40 -18]
 [121  42 -19]
 [125  42 -16]]"
65,4,Waist,42,11,"[[2872 1918 2077]
 [2861 1924 2069]
 [2854 1933 2064]
 ...
 [2870 1932 2077]
 [2873 1928 2084]
 [2874 1915 2087]]","[[-2 22 17]
 [-2 24 16]
 [-3 27 14]
 ...
 [-8 26 -5]
 [-7 27 -4]
 [-3 26 -5]]"
66,1,Wrist,3,1,"[[ -710   667 -3975]
 [ -713   669 -3976]
 [ -713   672 -3975]
 ...
 [ -718   923 -3905]
 [ -713   924 -3907]
 [ -707   927 -3906]]","[[28 21 28]
 [22 18 29]
 [18 17 28]
 ...
 [17 21 28]
 [18 20 27]
 [17 18 26]]"
67,14,Neck,29,2,"[[3923  394 -918]
 [3932  400 -900]
 [3944  403 -882]
 ...
 [4189  931  261]
 [4185  802  258]
 [4162  639  237]]","[[   27   125   -24]
 [   16   119   -18]
 [    9   113   -17]
 ...
 [ 2391   860 -2114]
 [ 2440   701 -2176]
 [ 2419   520 -2211]]"
68,9,Neck,14,12,"[[ 2347  1353 -3160]
 [ 2356  1358 -3158]
 [ 2365  1353 -3155]
 ...
 [ 3610   871 -1054]
 [ 3615   795 -1018]
 [ 3612   721  -974]]","[[-152  518 -283]
 [-176  530 -278]
 [-189  542 -272]
 ...
 [ 109  179  447]
 [ 125  181  447]
 [ 138  184  440]]"
69,2,Neck,122,1,"[[3419 -455  748]
 [3423 -440  758]
 [3430 -436  767]
 ...
 [3599 1696  764]
 [3601 1702  779]
 [3609 1690  793]]","[[ 83 211  57]
 [ 84 207  62]
 [ 91 201  64]
 ...
 [764 155  38]
 [764 146  34]
 [757 133  28]]"
70,7,Waist,118,1,"[[3997  324   89]
 [3996  320   82]
 [3992  319   82]
 ...
 [3819  739   63]
 [3800  778   52]
 [3782  811   37]]","[[  19   29    0]
 [  15   25    1]
 [  12   27    1]
 ...
 [-147   41 -390]
 [-140   39 -392]
 [-131   40 -393]]"
71,15,Neck,18,6,"[[-1354 -3019  2506]
 [-1351 -3008  2503]
 [-1359 -2994  2499]
 ...
 [ 3889   934   253]
 [ 3882   930   239]
 [ 3869   918   222]]","[[-126   80   22]
 [-133   77   25]
 [-145   81   32]
 ...
 [ -61   27  -82]
 [ -48   32  -85]
 [ -36   40  -89]]"
72,3,Waist,13,10,"[[3610 -950 1229]
 [3597 -954 1193]
 [3585 -964 1172]
 ...
 [3515  940 1717]
 [3519  943 1716]
 [3522  946 1713]]","[[-52  30 -50]
 [-56  39 -50]
 [-68  48 -50]
 ...
 [ -4   4 -10]
 [ -3   1 -11]
 [ -2   2 -14]]"
73,5,Waist,13,4,"[[ 3920 -1053   135]
 [ 3920 -1050   133]
 [ 3922 -1044   132]
 ...
 [ 3653   165  1725]
 [ 3654   166  1725]
 [ 3656   169  1726]]","[[-22  24  12]
 [-15  26  13]
 [-10  24  16]
 ...
 [-15  23  10]
 [-13  21   8]
 [-12  14   9]]"
74,14,Neck,127,4,"[[  506  -265  3895]
 [  507  -262  3893]
 [  504  -260  3892]
 ...
 [  157   172 -4315]
 [  156   172 -4319]
 [  155   173 -4319]]","[[-61  68  17]
 [-65  71  17]
 [-65  70  20]
 ...
 [-62  75  20]
 [-67  74  20]
 [-67  74  21]]"
75,9,Waist,21,5,"[[ 4273 -1506   296]
 [ 4360 -1320   217]
 [ 4544 -1118    15]
 ...
 [ 4043    46     5]
 [ 4056    39     2]
 [ 4071    33     0]]","[[ 149  149 -111]
 [ 134  186 -125]
 [ 127  213 -131]
 ...
 [  42   49   12]
 [  41   51   14]
 [  45   48   16]]"
76,14,Waist,16,6,"[[4221  135  805]
 [4286  164  617]
 [4357  199  425]
 ...
 [ 339 2551 3163]
 [ 338 2545 3161]
 [ 338 2547 3161]]","[[473 -55 237]
 [592 109 290]
 [715 289 365]
 ...
 [  5  20  15]
 [  1  21  15]
 [  2  21  14]]"
77,1,Wrist,126,2,"[[1303 1941  424]
 [1323 1905  400]
 [1342 1878  380]
 ...
 [3417 3153   45]
 [3329 3184    9]
 [3239 3207  -22]]","[[ -216   172  -172]
 [ -214   208  -238]
 [ -207   248  -305]
 ...
 [ 1550  1106 -1124]
 [ 1469  1083 -1120]
 [ 1381  1050 -1113]]"
78,10,Waist,13,4,"[[3949  185 1055]
 [3954  189 1055]
 [3958  192 1058]
 ...
 [3741 -776 1351]
 [3740 -780 1344]
 [3741 -788 1347]]","[[-50  32   9]
 [-49  30   7]
 [-48  25   7]
 ...
 [-32  14  71]
 [-34  17  74]
 [-41  22  76]]"
79,13,Wrist,9,1,"[[-3864  -206 -1560]
 [-3863  -214 -1554]
 [-3864  -223 -1544]
 ...
 [ 3884  -483 -1044]
 [ 3882  -487 -1049]
 [ 3884  -489 -1051]]","[[-1 25 36]
 [-3 23 39]
 [-9 23 39]
 ...
 [28 25 29]
 [30 27 27]
 [30 25 26]]"
80,7,Neck,106,2,"[[ 3343 -1948  -129]
 [ 3389 -1938   -39]
 [ 3420 -1924    47]
 ...
 [ 3423  -639 -1390]
 [ 3373  -663 -1448]
 [ 3364  -696 -1514]]","[[-119  154   42]
 [-113  154   41]
 [-105  149   41]
 ...
 [-891   27   96]
 [-933   34  148]
 [-975   34  200]]"
81,12,Neck,13,1,"[[ 4299 -1640 -1486]
 [ 4214 -1587 -1479]
 [ 4145 -1530 -1457]
 ...
 [ 3392  -287 -2325]
 [ 3399  -283 -2313]
 [ 3406  -285 -2306]]","[[1114 -184 -692]
 [1107 -181 -671]
 [1099 -180 -651]
 ...
 [ -58   84   24]
 [ -51   91   22]
 [ -49   84   19]]"
82,13,Waist,109,4,"[[ 3972  1131 -1265]
 [ 3906  1063 -1360]
 [ 4015  1078 -1307]
 ...
 [ -530  2838  2876]
 [ -529  2830  2868]
 [ -530  2829  2865]]","[[969 465   7]
 [952 486  21]
 [964 492  48]
 ...
 [ 37 139 -38]
 [ 35 141 -39]
 [ 40 144 -41]]"
83,2,Neck,105,1,"[[ 3853  -687   697]
 [ 3944  -695   774]
 [ 4027  -704   827]
 ...
 [ -731 -4149  -189]
 [ -728 -4150  -187]
 [ -725 -4148  -190]]","[[694 264 234]
 [684 243 224]
 [663 216 216]
 ...
 [-65  75  14]
 [-64  72  14]
 [-64  74  13]]"
